Date/Time,Open,High,Low,Close,Volume
2018-02-28,78.14,80.61,78.09,78.71,8158
2018-03-31,78.14,100.16,76.86,97.55,590311
2018-04-30,98.5,99.19,77.19,80.98,692033
2018-05-31,81.93,90.97,72.53,80.89,4660420
2018-06-30,78.22,89.66,60.94,61.86,9848140
2018-07-31,60.09,71.2,53.33,68.62,10635950
2018-08-31,69.75,78.08,65.42,74.12,10771880
2018-09-30,73.69,78.01,69.02,77.5,10138280
2018-10-31,75.85,80.58,64.77,69.74,13603740
2018-11-30,69.45,72.65,65.42,67.65,6496240
2018-12-31,67.87,73.31,66.86,69.04,5455810
2019-01-31,67.57,69.93,62.64,68.88,3995840
2019-02-28,69.24,75.19,68.15,69.89,5337010
2019-03-31,69.89,77.78,69.89,72.14,5999050
2019-04-30,72.14,76.38,70.4,72.57,4444890
2019-05-31,72.72,81.64,72.14,74.89,10447930
2019-06-30,74.53,78.67,68.77,72.24,8338800
2019-07-31,70.9,78.5,70.61,75.16,10418290
2019-08-31,74.87,89.2,74.38,82.2,20269050
2019-09-30,80.45,84.7,76.34,78.69,10994500
2019-10-31,78.69,84.2,77.32,81.53,9441970
2019-11-30,81.53,85.9,78.3,79.47,10503590
2019-12-31,80.06,86.3,76.83,84.17,9191930
2020-01-31,84.66,92.3,82.21,84.3,14979400
2020-02-29,80.0,86.3,78.0,79.96,12621210
2020-03-31,81.7,82.7,44.04,45.9,17851920
2020-04-30,45.1,61.2,45.1,56.9,17865700
2020-05-31,56.8,65.5,55.7,63.1,21090880
2020-06-30,63.4,66.6,56.4,57.4,15576260
2020-07-31,57.4,60.7,49.8,51.6,10427070
2020-08-31,52.5,61.33,51.6,59.54,13190420
2020-09-30,59.94,62.92,57.86,60.44,13373200
2020-10-31,60.64,70.8,56.96,68.97,22548360
2020-11-30,69.37,79.6,68.97,77.31,24881300
2020-12-31,76.41,79.0,73.0,78.3,13226110
