Date/Time,Open,High,Low,Close,Volume
2018-03-04,78.14,80.61,76.86,77.33,65943
2018-03-11,77.14,85.69,77.14,82.35,146894
2018-03-18,82.87,86.61,80.46,85.24,119012
2018-03-25,86.19,89.95,85.0,85.71,121510
2018-04-01,85.24,100.16,85.24,97.55,145110
2018-04-08,98.5,99.19,91.87,91.87,190807
2018-04-15,90.92,94.84,85.71,88.08,179148
2018-04-22,88.08,90.34,77.19,81.64,204481
2018-04-29,83.11,84.29,77.66,80.98,117597
2018-05-06,81.93,84.68,78.99,80.98,70936
2018-05-13,82.4,90.97,81.93,86.66,634294
2018-05-20,87.7,90.49,83.34,85.81,1233060
2018-05-27,86.95,88.84,82.49,82.49,948820
2018-06-03,83.32,83.32,72.53,80.93,2033290
2018-06-10,81.07,89.66,80.64,87.09,1450430
2018-06-17,86.42,89.37,80.83,86.46,2645050
2018-06-24,84.62,86.53,69.69,76.29,2686440
2018-07-01,75.37,78.03,60.94,61.86,2806240
2018-07-08,60.09,62.85,53.33,61.51,2819440
2018-07-15,62.48,63.21,57.46,60.44,1472290
2018-07-22,61.15,70.48,61.15,67.62,3430630
2018-07-29,69.75,71.2,63.64,66.49,2062280
2018-08-05,67.91,70.48,66.49,67.91,1823440
2018-08-12,69.39,71.69,65.42,70.52,1610380
2018-08-19,70.52,75.81,68.08,71.17,3033140
2018-08-26,71.17,77.28,70.96,74.7,2466850
2018-09-02,76.98,78.08,73.83,74.12,2689380
2018-09-09,73.69,75.66,69.02,70.6,2474820
2018-09-16,70.6,74.93,69.74,73.26,1837710
2018-09-23,72.61,74.85,70.74,74.63,2770990
2018-09-30,73.98,78.01,72.68,77.5,3054760
2018-10-07,75.85,80.58,74.77,76.71,3032830
2018-10-14,76.21,80.58,71.68,77.72,4154010
2018-10-21,76.06,77.64,72.97,74.91,2308240
2018-10-28,75.41,77.57,65.06,66.57,2899680
2018-11-04,66.14,72.5,64.77,70.81,2104090
2018-11-11,70.09,72.65,67.58,67.58,1398720
2018-11-18,67.0,69.2,66.07,66.86,1011810
2018-11-25,68.9,71.03,67.22,68.37,1459050
2018-12-02,68.23,70.96,65.42,67.65,1731550
2018-12-09,67.87,72.35,67.36,70.45,1583000
2018-12-16,71.25,73.31,69.38,70.53,1256130
2018-12-23,70.17,71.55,67.22,68.3,1669360
2018-12-30,68.3,70.52,66.86,69.04,947320
2019-01-06,67.57,69.49,62.64,65.25,783050
2019-01-13,66.34,68.6,65.25,68.52,904730
2019-01-20,68.45,68.45,64.67,64.67,743550
2019-01-27,65.25,68.45,65.25,66.7,675020
2019-02-03,67.43,70.08,67.06,68.59,1112700
2019-02-17,69.53,72.75,69.31,70.11,1709950
2019-02-24,70.54,73.86,69.6,73.41,1930400
2019-03-03,73.71,75.19,69.89,71.41,1708560
2019-03-10,71.63,74.97,71.49,71.63,1668460
2019-03-17,71.78,77.63,71.49,75.4,1800380
2019-03-24,75.4,77.78,71.92,74.1,1483320
2019-03-31,72.5,74.82,71.7,72.14,811780
2019-04-07,72.14,75.04,71.41,72.86,1236980
2019-04-14,73.23,76.38,72.07,72.21,1277120
2019-04-21,73.49,74.23,70.54,70.83,843350
2019-04-28,71.05,74.23,70.4,72.57,1087440
2019-05-05,72.72,77.04,72.65,74.46,979320
2019-05-12,73.44,75.63,72.14,72.86,1341260
2019-05-19,72.86,76.75,72.72,75.93,2069490
2019-05-26,74.6,81.64,74.24,79.79,3606770
2019-06-02,79.04,80.6,74.89,74.89,2451090
2019-06-09,74.53,77.98,73.0,77.98,2239400
2019-06-16,76.9,78.67,71.77,71.86,2463730
2019-06-23,71.86,74.22,68.77,71.86,2125990
2019-06-30,71.67,73.63,69.54,72.24,1509680
2019-07-07,70.9,74.12,70.8,72.15,1666560
2019-07-14,72.15,73.63,70.61,71.28,1587270
2019-07-21,71.28,74.81,70.7,71.67,2194870
2019-07-28,71.19,78.5,70.99,78.2,3763180
2019-08-04,76.53,80.4,74.38,80.4,3120380
2019-08-11,80.5,87.7,77.81,82.41,5302060
2019-08-18,82.6,89.2,82.6,84.17,4882040
2019-08-25,84.27,87.2,80.64,82.8,4894350
2019-09-01,82.99,85.7,78.79,82.2,3276630
2019-09-08,80.45,83.2,78.79,79.27,1680270
2019-09-15,79.27,82.7,76.34,80.25,3194150
2019-09-22,80.94,84.5,79.86,83.8,2761420
2019-09-29,84.2,84.7,78.3,79.37,2920810
2019-10-06,79.37,81.3,77.81,78.59,2157340
2019-10-13,78.59,78.69,77.32,78.3,1275460
2019-10-20,78.49,83.5,77.81,80.64,2135330
2019-10-27,80.64,84.2,79.37,81.43,2681860
2019-11-03,81.33,83.9,80.45,81.53,2145870
2019-11-10,81.92,85.3,81.62,83.87,3314000
2019-11-17,84.07,85.9,82.5,83.48,2519320
2019-11-24,83.19,84.7,79.27,79.86,2676140
2019-12-01,79.86,83.4,78.3,79.47,1478090
2019-12-08,80.06,81.6,76.83,80.45,1418580
2019-12-15,80.45,82.7,80.06,81.72,1548030
2019-12-22,81.53,83.7,79.08,82.8,1403900
2019-12-29,80.94,86.3,80.94,84.66,3705410
2020-01-05,85.15,87.7,83.78,84.95,2427670
2020-01-12,84.85,88.7,82.31,86.61,4446760
2020-01-19,86.52,90.9,86.22,88.77,3690820
2020-01-26,89.06,92.3,88.47,91.3,2144170
2020-02-02,90.6,90.8,82.21,84.3,3385990
2020-02-09,80.0,84.8,78.0,80.84,4234680
2020-02-16,80.25,83.9,79.27,80.94,2265200
2020-02-23,80.74,86.3,80.45,82.02,2817520
2020-03-01,80.35,83.4,79.27,79.96,3303810
2020-03-08,81.7,82.7,78.49,78.98,2004120
2020-03-15,73.6,78.0,58.13,60.29,5044440
2020-03-22,59.21,59.21,52.16,53.83,4196450
2020-03-29,51.87,55.2,49.23,50.79,4980950
2020-04-05,47.27,52.0,44.04,51.9,3044650
2020-04-12,54.6,59.9,53.1,57.6,5252950
2020-04-19,57.6,60.5,56.5,59.7,4174210
2020-04-26,61.0,61.2,56.2,59.5,4480290
2020-05-03,60.0,60.2,56.7,56.9,2539560
2020-05-10,56.8,59.5,55.7,58.2,4335450
2020-05-17,58.8,65.5,58.3,62.0,7457560
2020-05-24,61.8,65.3,61.6,63.2,4711690
2020-05-31,63.5,65.0,62.1,63.1,4586180
2020-06-07,63.4,64.3,63.1,63.7,3060530
2020-06-14,64.1,66.6,57.0,59.5,7044970
2020-06-21,59.6,59.8,57.0,59.2,2364650
2020-06-28,59.4,61.0,58.8,59.6,2121730
2020-07-05,59.0,59.2,56.4,58.6,1692600
2020-07-12,59.1,60.7,58.8,59.9,2153880
2020-07-19,60.0,60.5,58.6,60.4,1752510
2020-07-26,60.3,60.4,55.0,56.0,2271440
2020-08-02,52.5,54.1,49.8,51.6,3541020
2020-08-09,52.5,55.97,51.6,54.78,2384320
2020-08-16,55.48,56.86,53.89,56.07,2318260
2020-08-23,56.07,56.07,54.58,55.87,2896910
2020-08-30,57.56,61.33,56.96,60.34,4952450
2020-09-06,60.34,61.13,59.35,60.14,2671740
2020-09-13,60.24,60.8,57.86,59.05,2394230
2020-09-20,59.54,60.54,59.15,59.94,2115130
2020-09-27,59.94,62.92,59.94,61.53,4740190
2020-10-04,61.53,62.12,56.96,60.54,3581670
2020-10-11,60.54,63.61,60.24,62.72,3926830
2020-10-18,62.92,68.5,61.33,67.58,5476920
2020-10-25,68.28,68.77,65.8,67.48,4581630
2020-11-01,68.18,70.8,64.9,68.97,7071700
2020-11-08,69.37,74.43,68.97,72.74,6541230
2020-11-15,73.93,74.4,70.96,73.24,5852780
2020-11-22,73.9,74.1,71.55,73.04,5047140
2020-11-29,73.44,78.6,72.84,78.2,6245340
2020-12-06,79.19,79.6,75.42,77.9,4935600
2020-12-13,77.61,78.9,73.0,77.4,3942510
2020-12-20,77.5,79.0,75.0,77.3,3909440
2020-12-27,77.3,78.7,76.5,78.3,1633370
